sku,brand,product_name,category,gender,season,region,date,competitor_price,our_cost,min_margin,our_current_price,size,color,material,store,store_id
AS-SND-W-064,ASICS,ASICS Comfort Float (Women's),Sandals,Women's,Winter,South,1/16/2025,33.69,25.35,0.37,27.71,9,Green,Rubber,Foot Locker,Store_41
NB-LFS-M-065,New Balance,New Balance City Stepper (Men's),Lifestyle,Men's,Fall,South,9/26/2024,111.18,64.42,0.24,94.84,8.5,Multicolor,Suede,Kohl's,Store_13
NB-BSK-U-066,New Balance,New Balance Air Slam (Unisex),Basketball,Unisex,Spring,Midwest,3/12/2025,151.83,84.48,0.31,140.33,9,Multicolor,Mesh,DSW,Store_43
AS-RUN-M-067,ASICS,ASICS CloudRun X (Men's),Running,Men's,Winter,South,1/24/2025,119.29,74.12,0.36,107.78,8.5,Red,Mesh,Dick's Sporting Goods,Store_13
NK-RUN-Y-068,Nike,Nike Ultra Stride (Youth),Running,Youth,Fall,Northeast,9/28/2024,80.13,61.49,0.38,87.59,6.5Y,Blue,Knit,Nike Store,Store_32
CV-BOT-W-069,Converse,Converse Classic Lace-Up (Women's),Boots,Women's,Spring,West Coast,5/10/2024,119.49,92.68,0.31,124.93,9.5,Gray,Leather,Zappos,Store_59
VN-CSL-M-070,Vans,Vans Daily Comfort (Men's),Casual,Men's,Spring,West Coast,3/8/2025,51.82,32.88,0.33,58.26,11,Multicolor,Suede,Zappos,Store_59
BR-SND-Y-071,Brooks,Brooks Sun Slide (Youth),Sandals,Youth,Winter,Midwest,1/16/2025,23.83,25.92,0.38,20.8,3.5Y,Green,Leather,Foot Locker,Store_78
CV-SND-W-072,Converse,Converse Comfort Float (Women's),Sandals,Women's,Fall,South,11/26/2024,16.2,14.95,0.29,16.45,7,Red,Synthetic,DSW,Store_81
NB-BSK-Y-073,New Balance,New Balance Rise Elite (Youth),Basketball,Youth,Spring,Midwest,3/24/2025,146.48,103.2,0.31,126.57,5Y,Green,Leather,Nike Store,Store_70
SK-LFS-Y-074,Skechers,Skechers Retro Classic (Youth),Lifestyle,Youth,Winter,Midwest,1/5/2025,63.45,54.98,0.26,60.07,4.5Y,Brown,Canvas,Amazon,Store_87
AD-BOT-M-075,Adidas,Adidas Classic Lace-Up (Men's),Boots,Men's,Summer,Midwest,7/14/2024,111.67,103.1,0.39,119.24,10.5,White,Suede,Zappos,Store_75
NK-SND-W-076,Nike,Nike Coastal Drift (Women's),Sandals,Women's,Spring,Northeast,3/12/2024,31.15,15.09,0.29,34.88,8,Brown,Synthetic,Dick's Sporting Goods,Store_15
PU-CSL-U-077,Puma,Puma Daily Comfort (Unisex),Casual,Unisex,Winter,West Coast,12/1/2024,47.31,25.56,0.29,39.36,10,Tan,Synthetic,Nike Store,Store_54
NK-SND-W-078,Nike,Nike Arch Support Plus (Women's),Sandals,Women's,Fall,West Coast,11/26/2024,32.69,22.61,0.34,36.52,6.5,Navy,Leather,Academy Sports,Store_70
AS-BSK-W-079,ASICS,ASICS Court Dominator (Women's),Basketball,Women's,Spring,Southwest,4/15/2024,67.54,46.32,0.35,72.63,7.5,Black,Synthetic,Nike Store,Store_73
PU-SND-W-080,Puma,Puma Sun Slide (Women's),Sandals,Women's,Winter,Southwest,2/26/2024,34.51,29.87,0.22,30.21,7,Red,Rubber,Zappos,Store_23
PU-SND-M-081,Puma,Puma Summer Stride (Men's),Sandals,Men's,Winter,South,2/2/2024,23.29,25.43,0.33,26.16,11,Black,Rubber,DSW,Store_96
VN-TRN-M-082,Vans,Vans PowerFit (Men's),Training,Men's,Spring,Southwest,3/9/2025,88.72,48.06,0.29,74.77,8,Brown,Knit,Foot Locker,Store_62
AD-BSK-Y-083,Adidas,Adidas Hoop Legend (Youth),Basketball,Youth,Fall,Southwest,11/1/2024,89.42,75.43,0.32,100.85,5.5Y,White,Leather,Academy Sports,Store_49
AD-TRN-U-084,Adidas,Adidas Gym Pro (Unisex),Training,Unisex,Summer,West Coast,7/31/2024,110.61,61.18,0.3,117.13,12,Green,Synthetic,Kohl's,Store_52
NB-LFS-M-085,New Balance,New Balance Retro Classic (Men's),Lifestyle,Men's,Fall,Northeast,10/11/2024,58.92,30.4,0.37,53.67,8.5,White,Knit,Academy Sports,Store_17
BR-SND-U-086,Brooks,Brooks Summer Stride (Unisex),Sandals,Unisex,Fall,Northeast,9/16/2024,24.62,19.11,0.34,27.66,8,Multicolor,Leather,DSW,Store_74
VN-SND-M-087,Vans,Vans Comfort Float (Men's),Sandals,Men's,Winter,Midwest,12/2/2024,35.46,33.91,0.23,31.95,12,Navy,Leather,Foot Locker,Store_78
SK-SND-Y-088,Skechers,Skechers Beach Cruiser (Youth),Sandals,Youth,Winter,Northeast,1/14/2025,23.25,29.2,0.2,25.01,6.5Y,Gray,Synthetic,DSW,Store_19
BR-LFS-Y-089,Brooks,Brooks Street Edge (Youth),Lifestyle,Youth,Spring,South,3/21/2024,66.13,58.18,0.26,65.22,4Y,Red,Suede,Foot Locker,Store_20
BR-LFS-U-090,Brooks,Brooks Street Edge (Unisex),Lifestyle,Unisex,Spring,West Coast,5/25/2024,98.46,55.13,0.33,102.12,8,Navy,Canvas,Dick's Sporting Goods,Store_15
PU-BOT-M-091,Puma,Puma Heritage Work Boot (Men's),Boots,Men's,Summer,Northeast,6/16/2024,61.61,56.04,0.29,68.62,9,Red,Leather,Zappos,Store_38
VN-TRN-Y-092,Vans,Vans Iron Sole (Youth),Training,Youth,Spring,Northeast,3/17/2025,60.8,44.52,0.26,55.94,3.5Y,Black,Synthetic,Kohl's,Store_10
SK-BSK-U-093,Skechers,Skechers Air Slam (Unisex),Basketball,Unisex,Summer,Northeast,8/11/2024,172.86,95.2,0.23,165.6,9,Gray,Mesh,Academy Sports,Store_12
BR-HIK-Y-094,Brooks,Brooks Terrain Master (Youth),Hiking,Youth,Summer,South,6/28/2024,101.93,84.37,0.36,108.73,4Y,Gray,Leather,Amazon,Store_45
NB-HIK-W-095,New Balance,New Balance Ridge Runner (Women's),Hiking,Women's,Fall,South,11/17/2024,132.55,72.71,0.35,130.45,6.5,Gray,Gore-Tex,Nike Store,Store_99
CV-SND-Y-096,Converse,Converse Arch Support Plus (Youth),Sandals,Youth,Fall,South,10/29/2024,13.06,15.35,0.26,12.84,7Y,White,Leather,Zappos,Store_36
NK-SND-Y-097,Nike,Nike Coastal Drift (Youth),Sandals,Youth,Fall,Northeast,10/10/2024,49.38,36.9,0.38,41.62,6.5Y,White,Synthetic,Kohl's,Store_75
CV-TRN-Y-098,Converse,Converse Iron Sole (Youth),Training,Youth,Winter,Southwest,2/19/2025,72.17,67.97,0.24,69.62,3.5Y,Tan,Mesh,Kohl's,Store_14
NB-RUN-W-099,New Balance,New Balance FlexRun 2.0 (Women's),Running,Women's,Spring,West Coast,5/24/2024,101.3,60.08,0.35,116.52,7,Tan,Synthetic,Academy Sports,Store_48
RB-BSK-Y-100,Reebok,Reebok Court Vision (Youth),Basketball,Youth,Winter,Northeast,2/11/2024,107.83,78.71,0.24,89.26,5.5Y,Green,Synthetic,Nike Store,Store_43
BR-CSL-M-101,Brooks,Brooks Chill Step (Men's),Casual,Men's,Winter,Midwest,12/9/2024,48.58,37.24,0.3,53,9,Green,Suede,DSW,Store_83
PU-SND-U-102,Puma,Puma Beach Cruiser (Unisex),Sandals,Unisex,Fall,South,9/16/2024,37.38,32.5,0.34,43.26,6,Gray,Rubber,Zappos,Store_13
RB-CSL-U-103,Reebok,Reebok Urban Walker (Unisex),Casual,Unisex,Summer,South,7/29/2024,62.04,35.11,0.31,57.66,11,Gray,Leather,Kohl's,Store_06
AS-TRN-W-104,ASICS,ASICS Iron Sole (Women's),Training,Women's,Spring,Midwest,5/24/2024,98.45,63.12,0.31,108.19,9.5,Navy,Synthetic,Kohl's,Store_99
PU-CSL-Y-105,Puma,Puma City Stroll (Youth),Casual,Youth,Winter,Northeast,2/12/2024,54.02,49.47,0.26,59.72,4Y,Brown,Suede,DSW,Store_37
BR-BSK-W-106,Brooks,Brooks Air Slam (Women's),Basketball,Women's,Summer,West Coast,7/10/2024,95.63,56.85,0.39,111.14,6,Black,Synthetic,Dick's Sporting Goods,Store_65
AD-SND-W-107,Adidas,Adidas Sun Slide (Women's),Sandals,Women's,Fall,South,11/11/2024,22.39,14.13,0.27,19.32,7,Red,Leather,Kohl's,Store_58
VN-BOT-M-108,Vans,Vans Heritage Work Boot (Men's),Boots,Men's,Fall,Midwest,11/23/2024,183.59,101.19,0.26,154.94,8,Red,Leather,Amazon,Store_54
CV-RUN-W-109,Converse,Converse Ultra Stride (Women's),Running,Women's,Summer,South,8/1/2024,68.17,48.68,0.28,69.32,8.5,Green,Mesh,Amazon,Store_74
VN-RUN-U-110,Vans,Vans Air Runner Pro (Unisex),Running,Unisex,Winter,West Coast,2/7/2025,58.52,41.85,0.23,65.88,8,Green,Knit,Foot Locker,Store_46
CV-SND-W-111,Converse,Converse Summer Stride (Women's),Sandals,Women's,Fall,Northeast,9/2/2024,41.23,29.16,0.3,36.26,7,Tan,Leather,Kohl's,Store_90
AS-RUN-Y-112,ASICS,ASICS Air Runner Pro (Youth),Running,Youth,Summer,South,7/22/2024,121.17,94.38,0.32,107.35,6Y,Navy,Mesh,Zappos,Store_66
PU-HIK-Y-113,Puma,Puma Alpine Step (Youth),Hiking,Youth,Summer,Northeast,7/23/2024,131.65,85.17,0.35,108.78,4Y,Blue,Synthetic,Academy Sports,Store_56
AS-LFS-Y-114,ASICS,ASICS Street Edge (Youth),Lifestyle,Youth,Winter,Southwest,2/25/2025,37.66,35.22,0.28,38.77,4Y,White,Knit,Dick's Sporting Goods,Store_78
SK-HIK-U-115,Skechers,Skechers Alpine Step (Unisex),Hiking,Unisex,Summer,Southwest,8/16/2024,91.44,50.12,0.32,74.99,11,Green,Leather,Kohl's,Store_45
SK-RUN-M-116,Skechers,Skechers Ultra Stride (Men's),Running,Men's,Spring,West Coast,3/10/2025,99.53,72.63,0.31,113.76,9,Tan,Synthetic,Foot Locker,Store_19
RB-SND-U-117,Reebok,Reebok Sun Slide (Unisex),Sandals,Unisex,Summer,Southwest,7/9/2024,41.58,24.65,0.23,42.18,11,Multicolor,Rubber,Kohl's,Store_48
RB-HIK-W-118,Reebok,Reebok Trail Blazer (Women's),Hiking,Women's,Spring,Northeast,3/1/2024,133.75,61.09,0.25,109.75,10,Gray,Synthetic,Dick's Sporting Goods,Store_72
SK-LFS-W-119,Skechers,Skechers Heritage Runner (Women's),Lifestyle,Women's,Winter,Northeast,2/18/2025,83.62,55.28,0.32,85.45,7,White,Knit,Kohl's,Store_12
AD-HIK-Y-120,Adidas,Adidas Alpine Step (Youth),Hiking,Youth,Winter,South,2/9/2025,55.66,54.94,0.37,52.76,5Y,Gray,Synthetic,DSW,Store_26
RB-LFS-W-121,Reebok,Reebok Retro Classic (Women's),Lifestyle,Women's,Summer,Southwest,7/29/2024,104.39,58.77,0.33,86.29,9,White,Suede,Kohl's,Store_68
AD-LFS-U-122,Adidas,Adidas Street Edge (Unisex),Lifestyle,Unisex,Fall,Southwest,9/14/2024,94.94,64.43,0.27,104.72,12,Gray,Leather,Nike Store,Store_56
NB-CSL-Y-123,New Balance,New Balance Daily Comfort (Youth),Casual,Youth,Fall,South,11/21/2024,70.8,56.43,0.28,65.72,4Y,Tan,Suede,Zappos,Store_26
AD-CSL-W-124,Adidas,Adidas City Stroll (Women's),Casual,Women's,Winter,South,1/24/2024,77.22,56.15,0.37,83.21,6,Multicolor,Suede,Foot Locker,Store_11
CV-BOT-M-125,Converse,Converse Storm Shield (Men's),Boots,Men's,Winter,West Coast,2/16/2025,216.69,102.09,0.25,196.14,10,Tan,Suede,Kohl's,Store_32
NB-LFS-U-126,New Balance,New Balance Modern Icon (Unisex),Lifestyle,Unisex,Spring,West Coast,3/17/2025,130.27,56.73,0.34,107.58,10,Navy,Suede,Nike Store,Store_41
NB-SND-M-127,New Balance,New Balance Beach Cruiser (Men's),Sandals,Men's,Spring,Midwest,3/13/2024,29.28,16.32,0.28,27.17,10,Brown,Rubber,Kohl's,Store_32
PU-CSL-Y-128,Puma,Puma City Stroll (Youth),Casual,Youth,Summer,Southwest,8/27/2024,53.03,39.96,0.26,44.2,4.5Y,Blue,Leather,Kohl's,Store_66
VN-LFS-W-129,Vans,Vans City Stepper (Women's),Lifestyle,Women's,Fall,South,11/1/2024,97.11,63.29,0.29,92.61,6,Blue,Canvas,Zappos,Store_64
AD-BOT-W-130,Adidas,Adidas Storm Shield (Women's),Boots,Women's,Winter,Midwest,1/27/2024,160.73,86.21,0.29,183.23,8.5,Blue,Suede,Foot Locker,Store_52
VN-LFS-Y-131,Vans,Vans Vintage Wave (Youth),Lifestyle,Youth,Summer,Southwest,7/10/2024,79.41,59.8,0.24,70.32,4.5Y,Multicolor,Canvas,DSW,Store_51
PU-BOT-M-132,Puma,Puma All-Weather Boot (Men's),Boots,Men's,Summer,Northeast,8/21/2024,81.09,57.98,0.35,67.88,10.5,Gray,Synthetic,Kohl's,Store_67
RB-CSL-U-133,Reebok,Reebok City Stroll (Unisex),Casual,Unisex,Fall,Southwest,10/15/2024,53.26,32.79,0.33,48.45,10,Red,Suede,Kohl's,Store_91
BR-HIK-M-134,Brooks,Brooks Peak Walker (Men's),Hiking,Men's,Winter,Southwest,1/27/2024,116.33,77.18,0.27,107.78,13,Red,Gore-Tex,Amazon,Store_93
BR-CSL-W-135,Brooks,Brooks Chill Step (Women's),Casual,Women's,Summer,Northeast,8/2/2024,58.54,27.45,0.35,51.5,6,White,Leather,Kohl's,Store_41
AS-RUN-W-136,ASICS,ASICS Speed Boost Elite (Women's),Running,Women's,Spring,Southwest,3/29/2024,122.43,64.2,0.31,111.29,9.5,Tan,Knit,Dick's Sporting Goods,Store_41
SK-LFS-W-137,Skechers,Skechers Street Edge (Women's),Lifestyle,Women's,Spring,South,5/27/2024,84.73,56.2,0.3,82.46,7.5,Tan,Suede,Zappos,Store_99
VN-HIK-Y-138,Vans,Vans Ridge Runner (Youth),Hiking,Youth,Winter,Northeast,2/15/2025,52.12,55.32,0.21,59.28,6.5Y,Tan,Synthetic,Academy Sports,Store_99
AS-HIK-U-139,ASICS,ASICS Summit Grip (Unisex),Hiking,Unisex,Winter,South,2/25/2024,110.21,78.78,0.32,100.39,10,Tan,Synthetic,Zappos,Store_18
VN-TRN-W-140,Vans,Vans Cross Trainer X (Women's),Training,Women's,Winter,Northeast,1/29/2025,56.21,37.5,0.33,61.87,9.5,Green,Synthetic,DSW,Store_88
AS-LFS-W-141,ASICS,ASICS Street Edge (Women's),Lifestyle,Women's,Winter,Midwest,1/13/2025,87.03,56.92,0.37,95.14,6.5,Red,Canvas,Amazon,Store_69
NB-RUN-U-142,New Balance,New Balance Speed Boost Elite (Unisex),Running,Unisex,Fall,West Coast,11/4/2024,96.18,44.12,0.38,79.1,6,Red,Mesh,Zappos,Store_73
VN-LFS-W-143,Vans,Vans Modern Icon (Women's),Lifestyle,Women's,Winter,Southwest,1/9/2025,72.24,46.36,0.23,64.35,6.5,Red,Leather,Academy Sports,Store_21
SK-TRN-W-144,Skechers,Skechers Flex Force (Women's),Training,Women's,Summer,Southwest,7/24/2024,84.15,58.77,0.23,86.78,10,Green,Synthetic,Academy Sports,Store_12
PU-RUN-Y-145,Puma,Puma Speed Boost Elite (Youth),Running,Youth,Winter,West Coast,1/5/2025,77.63,70.65,0.26,82.81,6Y,Brown,Knit,Zappos,Store_75
AD-LFS-Y-146,Adidas,Adidas Modern Icon (Youth),Lifestyle,Youth,Fall,South,11/10/2024,46.35,36.83,0.39,45.52,4Y,Tan,Suede,Zappos,Store_48
